TIME,THERMOMETER_EXTERNAL,THERMOMETER23,HEATER23,SETPOINT23,THERMOMETER41,HEATER41,SETPOINT41,THERMOMETER31,HEATER31,SETPOINT31,THERMOMETER21,HEATER21,SETPOINT21,THERMOMETER11,HEATER11,SETPOINT11,THERMOMETER42,HEATER42,SETPOINT42,THERMOMETER32,HEATER32,SETPOINT32,THERMOMETER22,HEATER22,SETPOINT22,THERMOMETER12,HEATER12,SETPOINT12,THERMOMETER43,HEATER43,SETPOINT43,THERMOMETER33,HEATER33,SETPOINT33,THERMOMETER13,HEATER13,SETPOINT13,THERMOMETER44,HEATER44,SETPOINT44,THERMOMETER34,HEATER34,SETPOINT34,THERMOMETER24,HEATER24,SETPOINT24,THERMOMETER14,HEATER14,SETPOINT14
330,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
340,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
350,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
360,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
370,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
380,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
390,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
400,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
410,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
420,9.2873745,16.229527,10,18.0,15.898946,10,16.0,15.563326,10,20.0,15.984151,10,20.0,15.007271,10,20.0,16.13958,10,20.0,16.279392,10,20.0,16.452034,10,20.0,15.957168,10,20.0,16.13958,10,20.0,16.279236,10,20.0,15.957156,10,20.0,15.898946,10,20.0,15.563324,10,20.0,15.98405,10,20.0,15.007271,10,20.0
